Prueba 1
T1 T2 %Carga
15.0 0.0 68.7
0.0 0.0 68.7
16.0 0.0 68.7
15.0 0.0 68.7
0.0 0.0 68.7
0.0 0.0 68.7
0.0 0.0 68.7
0.0 0.0 68.7
0.0 0.0 68.7
0.0 0.0 68.7
0.0 0.0 68.7
0.0 0.0 68.7
0.0 0.0 68.7
0.0 0.0 68.7
578.0 31.0 68.7
0.0 0.0 68.7
0.0 0.0 68.7
0.0 0.0 68.7
0.0 0.0 68.7
578.0 31.0 68.7
0.0 0.0 68.7
0.0 0.0 68.7
0.0 0.0 68.7
15.0 0.0 68.7
0.0 0.0 68.7
0.0 0.0 68.7
0.0 0.0 68.7
0.0 0.0 68.7
0.0 0.0 68.7
0.0 0.0 68.7
0.0 0.0 68.7
0.0 0.0 68.7
0.0 0.0 37.5
0.0 0.0 37.5
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
16.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
16.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
15.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 12.4
0.0 0.0 12.4
0.0 0.0 12.4
0.0 0.0 12.4
2.0 1.0 12.4
0.0 0.0 12.4
0.0 0.0 12.4
31.0 0.0 12.4
0.0 15.0 12.4
0.0 0.0 12.4
15.0 0.0 12.4
0.0 0.0 12.4
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 31.5
0.0 0.0 31.5
0.0 0.0 31.5
0.0 0.0 31.5
0.0 1.0 31.5
16.0 0.0 31.5
0.0 0.0 31.5
15.0 0.0 31.5
0.0 0.0 31.5
0.0 0.0 31.5
0.0 0.0 31.5
0.0 0.0 24.9
0.0 0.0 24.9
0.0 0.0 24.9
15.0 0.0 24.9
0.0 0.0 24.9
0.0 0.0 24.9
0.0 0.0 24.9
0.0 0.0 24.9
0.0 0.0 24.9
0.0 0.0 24.9
0.0 0.0 24.9
0.0 0.0 24.9
16.0 0.0 28.0
0.0 0.0 28.0
0.0 0.0 28.0
0.0 0.0 28.0
0.0 0.0 28.0
0.0 0.0 28.0
0.0 0.0 28.0
15.0 0.0 28.0
0.0 0.0 28.0
0.0 0.0 28.0
0.0 0.0 28.0
0.0 0.0 28.0
0.0 15.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 26.6
0.0 0.0 26.6
0.0 0.0 26.6
0.0 0.0 26.6
0.0 0.0 26.6
0.0 0.0 26.6
0.0 0.0 26.6
0.0 0.0 26.6
0.0 0.0 26.6
0.0 0.0 26.6
0.0 0.0 26.2
0.0 0.0 26.2
0.0 0.0 26.2
0.0 0.0 26.2
2.0 1.0 26.2
0.0 0.0 26.2
16.0 0.0 26.2
0.0 0.0 26.2
0.0 0.0 26.2
0.0 0.0 26.2
0.0 0.0 26.2
0.0 0.0 26.2
0.0 0.0 36.0
0.0 0.0 36.0
0.0 16.0 36.0
0.0 0.0 36.0
0.0 0.0 36.0
0.0 0.0 36.0
0.0 0.0 36.0
0.0 0.0 36.0
0.0 0.0 36.0
15.0 0.0 36.0
0.0 0.0 12.4
0.0 0.0 12.4
0.0 0.0 12.4
0.0 0.0 12.4
0.0 0.0 12.4
15.0 0.0 12.4
15.0 0.0 12.4
0.0 0.0 12.4
2.0 0.0 12.4
16.0 0.0 12.4
0.0 0.0 12.4
0.0 0.0 31.7
0.0 0.0 31.7
0.0 0.0 31.7
0.0 0.0 31.7
0.0 0.0 31.7
0.0 0.0 31.7
15.0 0.0 31.7
0.0 0.0 31.7
0.0 0.0 31.7
0.0 0.0 31.7
0.0 0.0 31.7
0.0 0.0 31.7
0.0 0.0 20.9
0.0 0.0 20.9
0.0 0.0 20.9
0.0 0.0 20.9
0.0 0.0 20.9
0.0 0.0 20.9
0.0 0.0 20.9
0.0 16.0 20.9
0.0 0.0 20.9
