Prueba 1
T1 T2 %Carga
0.0 0.0 49.9
0.0 0.0 49.9
15.0 0.0 49.9
0.0 0.0 49.9
581.0 47.0 49.9
0.0 0.0 49.9
16.0 0.0 49.9
581.0 31.0 49.9
0.0 0.0 49.9
0.0 0.0 49.9
0.0 16.0 49.9
0.0 0.0 49.9
0.0 16.0 49.9
0.0 15.0 49.9
0.0 0.0 49.9
0.0 0.0 49.9
63.0 0.0 49.9
0.0 15.0 49.9
0.0 16.0 49.9
0.0 0.0 49.9
0.0 0.0 49.9
16.0 0.0 49.9
581.0 47.0 49.9
581.0 47.0 49.9
0.0 0.0 49.9
0.0 0.0 49.9
16.0 0.0 49.9
581.0 31.0 49.9
0.0 0.0 49.9
581.0 47.0 49.9
0.0 0.0 49.9
0.0 0.0 49.9
0.0 0.0 49.9
581.0 31.0 49.9
0.0 0.0 49.9
581.0 31.0 49.9
0.0 16.0 49.9
0.0 0.0 49.9
0.0 0.0 49.9
16.0 0.0 49.9
0.0 0.0 49.9
0.0 0.0 49.9
0.0 0.0 49.9
0.0 0.0 49.9
0.0 0.0 31.2
0.0 0.0 31.2
0.0 0.0 31.2
0.0 0.0 31.2
0.0 0.0 31.2
0.0 0.0 31.2
0.0 0.0 31.2
16.0 0.0 31.2
16.0 0.0 31.2
0.0 0.0 31.2
0.0 16.0 31.2
0.0 0.0 31.2
0.0 0.0 29.2
0.0 0.0 29.2
0.0 0.0 29.2
0.0 0.0 29.2
0.0 0.0 29.2
0.0 0.0 29.2
0.0 0.0 29.2
0.0 0.0 29.2
0.0 0.0 29.2
16.0 0.0 29.2
0.0 0.0 29.2
0.0 0.0 29.2
0.0 0.0 33.9
0.0 0.0 33.9
0.0 0.0 33.9
0.0 0.0 33.9
16.0 0.0 33.9
0.0 0.0 33.9
0.0 0.0 33.9
0.0 0.0 33.9
0.0 0.0 33.9
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
16.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 22.4
0.0 0.0 22.4
0.0 0.0 22.4
0.0 0.0 22.4
0.0 0.0 22.4
15.0 0.0 22.4
16.0 0.0 22.4
0.0 0.0 22.4
0.0 0.0 22.4
16.0 0.0 22.4
0.0 0.0 22.4
31.0 0.0 23.4
0.0 0.0 23.4
0.0 0.0 23.4
0.0 0.0 23.4
0.0 0.0 23.4
0.0 0.0 23.4
0.0 0.0 23.4
16.0 0.0 23.4
15.0 0.0 23.4
0.0 0.0 23.4
0.0 0.0 23.4
0.0 0.0 23.4
0.0 0.0 26.7
0.0 0.0 26.7
16.0 0.0 26.7
0.0 0.0 26.7
0.0 0.0 26.7
0.0 0.0 26.7
0.0 0.0 26.7
0.0 0.0 26.7
0.0 0.0 26.7
17.0 0.0 26.7
0.0 0.0 26.7
0.0 0.0 26.7
0.0 0.0 26.1
0.0 0.0 26.1
0.0 0.0 26.1
0.0 16.0 26.1
0.0 0.0 26.1
0.0 0.0 26.1
0.0 0.0 26.1
0.0 0.0 26.1
16.0 0.0 26.1
0.0 0.0 26.1
0.0 0.0 12.5
0.0 0.0 12.5
0.0 0.0 12.5
0.0 0.0 12.5
0.0 0.0 12.5
0.0 0.0 12.5
16.0 0.0 12.5
0.0 0.0 12.5
16.0 0.0 12.5
31.0 0.0 12.5
0.0 0.0 12.5
0.0 0.0 12.5
0.0 0.0 12.5
0.0 0.0 25.1
0.0 0.0 25.1
0.0 0.0 25.1
0.0 0.0 25.1
0.0 0.0 25.1
15.0 0.0 25.1
15.0 0.0 25.1
16.0 0.0 25.1
0.0 0.0 25.1
0.0 0.0 25.1
0.0 0.0 25.1
0.0 0.0 25.1
0.0 0.0 35.0
0.0 0.0 35.0
0.0 0.0 35.0
0.0 0.0 35.0
0.0 0.0 35.0
0.0 0.0 35.0
0.0 0.0 35.0
2.0 0.0 35.0
0.0 0.0 35.0
0.0 0.0 35.0
0.0 0.0 35.0
0.0 0.0 27.6
0.0 0.0 27.6
0.0 0.0 27.6
0.0 0.0 27.6
0.0 0.0 27.6
0.0 16.0 27.6
0.0 0.0 27.6
0.0 0.0 27.6
15.0 0.0 27.6
0.0 0.0 27.6
0.0 0.0 27.6
0.0 0.0 27.6
0.0 0.0 23.9
0.0 0.0 23.9
0.0 0.0 23.9
0.0 0.0 23.9
0.0 0.0 23.9
1.0 0.0 23.9
0.0 0.0 23.9
0.0 0.0 23.9
0.0 0.0 23.9
0.0 0.0 23.9
16.0 0.0 23.9
0.0 0.0 20.6
0.0 0.0 20.6
15.0 0.0 20.6
0.0 0.0 20.6
0.0 0.0 20.6
0.0 0.0 20.6
Numero de Fallas:0
Prueba 2
T1 T2 %Carga
0.0 0.0 100.0
16.0 0.0 100.0
157.0 16.0 100.0
0.0 0.0 100.0
0.0 0.0 100.0
0.0 0.0 100.0
0.0 0.0 100.0
0.0 0.0 100.0
16.0 0.0 100.0
0.0 0.0 100.0
0.0 0.0 100.0
157.0 16.0 100.0
0.0 0.0 100.0
0.0 0.0 100.0
16.0 0.0 100.0
0.0 0.0 100.0
157.0 16.0 100.0
0.0 0.0 100.0
15.0 0.0 100.0
157.0 16.0 100.0
0.0 0.0 100.0
0.0 0.0 100.0
0.0 0.0 100.0
0.0 0.0 100.0
157.0 16.0 100.0
157.0 16.0 100.0
62.0 0.0 100.0
0.0 0.0 100.0
4.0 1.0 100.0
0.0 0.0 100.0
0.0 0.0 100.0
0.0 0.0 100.0
0.0 0.0 100.0
0.0 0.0 100.0
0.0 0.0 100.0
0.0 0.0 37.4
0.0 0.0 37.4
0.0 0.0 37.4
0.0 0.0 37.4
0.0 0.0 37.4
0.0 0.0 37.4
0.0 0.0 37.4
0.0 0.0 37.4
0.0 0.0 37.4
0.0 0.0 37.4
0.0 0.0 37.4
0.0 0.0 37.4
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
16.0 0.0 26.5
16.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 18.7
0.0 0.0 18.7
0.0 0.0 18.7
0.0 16.0 18.7
0.0 0.0 18.7
0.0 0.0 18.7
0.0 0.0 18.7
0.0 0.0 18.7
0.0 0.0 18.7
0.0 0.0 18.7
0.0 0.0 18.7
0.0 0.0 18.7
0.0 0.0 31.2
0.0 0.0 31.2
0.0 0.0 31.2
0.0 0.0 31.2
0.0 0.0 31.2
15.0 0.0 31.2
0.0 0.0 31.2
0.0 0.0 31.2
0.0 0.0 31.2
0.0 0.0 31.2
0.0 0.0 31.2
0.0 0.0 31.2
0.0 0.0 22.8
0.0 0.0 22.8
0.0 0.0 22.8
0.0 0.0 22.8
15.0 0.0 22.8
0.0 15.0 22.8
0.0 0.0 22.8
16.0 0.0 22.8
0.0 0.0 22.8
0.0 0.0 22.8
0.0 0.0 22.8
0.0 0.0 27.1
0.0 0.0 27.1
0.0 0.0 27.1
0.0 0.0 27.1
0.0 0.0 27.1
0.0 16.0 27.1
0.0 0.0 27.1
0.0 0.0 27.1
0.0 0.0 27.1
0.0 0.0 27.1
0.0 0.0 25.5
0.0 0.0 25.5
0.0 0.0 25.5
0.0 0.0 25.5
0.0 0.0 25.5
0.0 0.0 25.5
15.0 0.0 25.5
0.0 0.0 25.5
0.0 0.0 25.5
0.0 0.0 25.5
15.0 0.0 25.5
0.0 0.0 25.5
0.0 0.0 35.7
0.0 0.0 35.7
15.0 0.0 35.7
15.0 0.0 35.7
0.0 0.0 35.7
16.0 0.0 35.7
0.0 0.0 35.7
0.0 0.0 35.7
0.0 0.0 35.7
0.0 0.0 35.7
0.0 0.0 35.7
0.0 0.0 35.7
0.0 0.0 23.8
