Prueba 1
T1 T2 %Carga
0.0 0.0 32.6
0.0 0.0 32.6
0.0 0.0 25.2
0.0 0.0 25.2
0.0 0.0 25.2
0.0 0.0 25.2
0.0 0.0 25.2
0.0 0.0 25.2
15.0 0.0 25.2
0.0 0.0 25.2
0.0 0.0 25.2
0.0 0.0 25.2
16.0 0.0 25.2
0.0 0.0 25.2
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 28.7
1.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 28.7
0.0 0.0 27.7
0.0 0.0 27.7
0.0 0.0 27.7
15.0 0.0 27.7
0.0 0.0 27.7
0.0 0.0 27.7
0.0 0.0 27.7
2.0 0.0 27.7
16.0 0.0 27.7
0.0 0.0 27.7
16.0 0.0 27.7
0.0 0.0 27.7
0.0 0.0 27.7
0.0 15.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 29.5
0.0 0.0 29.5
0.0 0.0 29.5
0.0 0.0 29.5
0.0 0.0 29.5
0.0 0.0 29.5
16.0 0.0 29.5
0.0 0.0 29.5
0.0 0.0 29.5
0.0 0.0 29.5
0.0 0.0 29.5
0.0 0.0 30.8
0.0 0.0 30.8
0.0 0.0 30.8
0.0 0.0 30.8
0.0 0.0 30.8
0.0 0.0 30.8
0.0 0.0 30.8
0.0 0.0 30.8
0.0 0.0 30.8
0.0 0.0 30.8
0.0 0.0 29.1
0.0 0.0 29.1
0.0 0.0 29.1
0.0 0.0 29.1
0.0 0.0 29.1
0.0 0.0 29.1
0.0 0.0 29.1
0.0 0.0 29.1
0.0 0.0 29.1
0.0 0.0 29.1
0.0 0.0 29.1
0.0 0.0 29.1
0.0 0.0 25.0
0.0 15.0 25.0
0.0 0.0 25.0
0.0 0.0 25.0
0.0 0.0 25.0
0.0 1.0 25.0
