T1 T2
523.0 42.0
522.0 42.0
6.0 1.0
4.0 1.0
8.0 2.0
6.0 2.0
6.0 2.0
7.0 1.0
6.0 2.0
6.0 1.0
3.0 1.0
4.0 1.0
5.0 0.0
3.0 2.0
3.0 0.0
3.0 1.0
3.0 2.0
3.0 1.0
3.0 1.0
3.0 1.0
4.0 1.0
5.0 0.0
3.0 1.0
3.0 1.0
4.0 1.0
3.0 0.0
3.0 1.0
4.0 1.0
4.0 1.0
3.0 1.0
4.0 1.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
2.0 1.0
5.0 1.0
3.0 1.0
3.0 1.0
5.0 0.0
3.0 0.0
3.0 1.0
3.0 0.0
4.0 0.0
4.0 0.0
3.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
4.0 0.0
3.0 1.0
4.0 0.0
3.0 0.0
3.0 1.0
3.0 0.0
3.0 0.0
3.0 1.0
3.0 1.0
3.0 1.0
3.0 0.0
3.0 0.0
4.0 0.0
3.0 1.0
3.0 1.0
3.0 1.0
4.0 0.0
2.0 1.0
4.0 0.0
3.0 1.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 1.0
3.0 0.0
4.0 1.0
4.0 0.0
3.0 1.0
4.0 0.0
3.0 1.0
4.0 1.0
3.0 1.0
4.0 1.0
3.0 1.0
4.0 1.0
4.0 0.0
6.0 1.0
3.0 1.0
6.0 1.0
3.0 0.0
4.0 0.0
3.0 1.0
5.0 0.0
4.0 1.0
3.0 1.0
3.0 0.0
5.0 1.0
5.0 0.0
4.0 0.0
3.0 0.0
4.0 1.0
4.0 0.0
3.0 0.0
4.0 1.0
3.0 0.0
3.0 1.0
2.0 1.0
3.0 1.0
3.0 0.0
5.0 1.0
3.0 0.0
3.0 1.0
3.0 0.0
4.0 0.0
4.0 0.0
2.0 1.0
4.0 1.0
3.0 0.0
2.0 1.0
3.0 1.0
3.0 0.0
3.0 0.0
3.0 1.0
3.0 0.0
2.0 1.0
4.0 0.0
3.0 0.0
3.0 0.0
3.0 1.0
3.0 1.0
3.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 1.0
3.0 0.0
4.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 1.0
2.0 1.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 1.0
2.0 1.0
2.0 1.0
3.0 0.0
4.0 0.0
4.0 0.0
4.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 1.0
2.0 1.0
3.0 1.0
3.0 1.0
3.0 1.0
2.0 1.0
3.0 1.0
3.0 1.0
4.0 0.0
3.0 1.0
3.0 1.0
3.0 0.0
3.0 0.0
3.0 1.0
3.0 1.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
15.0 1.0
3.0 1.0
2.0 1.0
3.0 0.0
3.0 0.0
4.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 1.0
2.0 1.0
3.0 0.0
3.0 1.0
2.0 1.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 0.0
2.0 1.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 1.0
3.0 0.0
3.0 1.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 0.0
3.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
2.0 1.0
3.0 1.0
2.0 1.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
2.0 1.0
2.0 1.0
2.0 0.0
3.0 0.0
3.0 0.0
3.0 1.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
4.0 0.0
3.0 1.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
2.0 1.0
2.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 1.0
2.0 1.0
2.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 1.0
3.0 0.0
3.0 0.0
2.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 1.0
4.0 0.0
3.0 1.0
3.0 0.0
3.0 1.0
3.0 0.0
2.0 1.0
2.0 1.0
3.0 1.0
3.0 0.0
2.0 0.0
2.0 1.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 1.0
3.0 1.0
3.0 0.0
3.0 1.0
3.0 0.0
2.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 0.0
3.0 0.0
3.0 0.0
3.0 1.0
2.0 1.0
2.0 1.0
2.0 1.0
3.0 0.0
3.0 0.0
2.0 1.0
2.0 0.0
2.0 1.0
3.0 1.0
2.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
2.0 1.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
2.0 1.0
2.0 1.0
3.0 0.0
2.0 0.0
3.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 1.0
3.0 1.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 1.0
2.0 1.0
2.0 1.0
3.0 0.0
3.0 0.0
3.0 0.0
3.0 0.0
2.0 0.0
2.0 1.0
3.0 0.0
2.0 0.0
3.0 0.0
2.0 1.0
3.0 0.0
2.0 1.0
3.0 0.0
2.0 0.0
Numero de Fallas:3
Carga del CPU:0.0
