51.164556962025316 4.822784810126582  1 10.773417721518994
9.404734506000327 1.2444517507808646  3 13.950304126253501
15.542559181325004 1.4155556468847608  0 13.875628801578165
55.944281989766566 3.9051944455860594  0 10.880945360019734
56.911803524872084 3.5363149305698256  0 10.589761817000245
13.58116206993509 1.601725505450251  1 12.698604579962021
16.61976452587419 2.095021568818128  0 13.10248255724953
12.488857778808534 1.1657597666939004  1 10.379778260218341
14.181110722235108 2.7395719970836736  0 10.573497228252727
15.02726388402794 1.6467446499635456  0 12.845918715353147
