3.2625 0.235  0 23.50725
2.38815625 0.4305875  0 23.843268125000005
2.375970390625 0.35607646875  0 21.55810817031249
2.4409399259765627 0.310890191171875  0 22.981645270425837
2.1561023498149416 0.3532772254779297  0 24.279204113175997
2.7753902558745374 0.23338319306369482  0 23.011948010283007
2.8669384756396865 0.3505834579826593  0 24.88977987002565
2.092167346189099 0.3108764586449566  0 24.7622244496751
2.1302304183654726 0.2382771911466124  0 23.222905561124154
2.3003255760459136 0.19809569297786653  0 24.232557263902773
