16.075 1.775  0 11.258750000000008
7.0759375 0.8096875000000001  0 10.240734375
6.76344921875 1.01012109375  0 6.599259179687503
6.909543115234375 0.600126513671875  0 6.472490739746095
7.336369288940429 0.6200015814208985  0 7.360906134246828
6.179204616111756 0.9827500197677612  0 7.14201132667808
6.939740057701397 1.587284375247097  0 8.319275141583471
5.586746750721267 0.6073410546905886  0 13.806490939269802
5.394834334384016 1.7700917631836326  0 12.13633113674088
15.7549354291798 1.4346261470397954  0 12.421704139209266
