5.08 0.64  0 27.31250000000001
2.7154 0.5482  0 29.235062500000062
3.018577 0.412741  0 25.9461753125
2.6100928850000003 0.392063705  0 29.95623087656254
3.6330504644249997 0.39696031852499997  0 26.306281154382805
2.7281652523221247 0.626984801592625  0 27.21003140577193
2.5486408262616105 0.40313492400796314  0 29.41755015702888
2.977743204131308 0.15701567462003982  0 32.92272394819484
3.1548887160206567 0.3107850783731002  0 28.55064591551679
3.400928850000003 0.62063705  0 32.95623087656254
