13.825 1.625  0 26.229999999999997
4.753947368421053 0.337406015037594  1 21.115864661654143
4.971528980679547 0.7249048253545255  5 60.856562313712686
9.665750706280201 1.1360124172793786  5 20.742156088437397
4.816410534787513 0.7135431787240594  6 23.809712416235822
3.6812441366786657 0.5030414616008122  1 71.98782417086535
2.4804041206433047 0.5551454673223079  1 31.201829319603245
2.813701010301608 0.16388786366830577  0 38.14589344647108
2.612597238719351 0.35468313533585005  2 39.00945571585726
3.1365314930967987 0.1583867078383396  0 37.040078131872164
