7.43 0.635  0 27.784999999999926
3.76215 0.5181749999999999  0 40.82792500000001
3.7388107500000003 0.492590875  0 17.572139625
3.692154827889447 0.4145356325376885  1 39.432108277553716
3.5612671096878867 0.504595656444913  1 29.235656496115826
3.7128063355484393 0.44752297828222454  0 44.50829859246315
3.753564031677742 0.4222376148914111  0 58.19484565660381
3.72237971875215 0.5649358674115147  1 23.12264445149192
7.777499395571619 0.7013313360171434  1 22.334433979369138
3.873887496977858 0.3185066566800857  0 33.91407187271308
