4.9425 0.4375  0 29.501750000000037
2.7598562500000003 0.51109375  0 29.595754375000123
3.136899640625 0.341277734375  0 28.817783845551386
3.235342249101562 0.34585319433593753  0 31.94219315142822
2.8280883556227536 0.39586463298583985  0 39.88675966793558
2.7720702208890566 0.6184896615824647  0 34.556395694666435
2.4294301755522225 0.23904622415395615  0 27.24526753481443
2.8635735754388802 0.39309761556038486  0 35.16001389850873
3.343016475126413 0.4696568862545373  1 35.533756650525106
2.590857541187816 0.4336741422156363  0 32.99903365870849
