10.1375 0.9625  0 12.129999999999995
4.46421875 0.8120312500000001  0 12.791625000000003
5.743302734375 0.385150390625  0 19.63489531249999
5.159291284179687 0.4048143798828125  0 12.576686191406244
3.764491141052246 0.5925601797485351  0 10.258458577392576
4.384556139263153 1.0074070022468566  0 12.228230732217401
5.75480695174079 0.2125925875280857  0 9.464102884152728
5.534435086896759 0.41515740734410106  0 10.06830128605191
4.44418043858621 0.21768946759180124  0 14.785853766075642
3.9180522554823276 0.7777211183448975  0 12.853573172075949
