25.93 2.27  0 31.22500000000004
7.267323232323233 0.9811616161616161  2 39.795580808080814
8.796336616161616 1.239905808080808  0 36.766477904040414
7.9939208920008165 0.8143429586266707  2 25.87457817123254
8.253776248182746 1.252864685069171  3 20.27956638665601
7.097241294182741 1.6376407307326728  2 21.43626043629622
8.377373071830064 1.0132544760338325  1 24.35294603234318
9.288328507898644 1.1206696204825821  1 21.877652995137392
9.116441642539494 1.7206033481024128  0 21.211583260612418
7.9704343801132636 1.2900532831562936  1 28.48883199604606
